"Source:","C:\git\katie_keeb\Hardware\keeb_v1\keeb_v1.sch"
"Date:","8/17/2020 8:07:51 PM"
"Tool:","Eeschema (5.1.6)-1"
"Component Count:","25"
"Ref","Value","Footprint","Datasheet","Manufacturer","Vendor"
"C1","22p","Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~","",""
"C2","22p","Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~","",""
"C3","0.1u","Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~","",""
"C4","0.1u","Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~","",""
"C5","0.1u","Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~","",""
"C6","0.1u","Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~","",""
"C7","4.7u","Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~","",""
"C8","1u","Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~","",""
"C9","10u","Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~","",""
"D1","D","keyboard_parts:D_SOD123_axial","~","",""
"D2","D","keyboard_parts:D_SOD123_axial","~","",""
"D3","D","keyboard_parts:D_SOD123_axial","~","",""
"D4","D","keyboard_parts:D_SOD123_axial","~","",""
"J1","USB_mini_micro_B","keyboard_parts:USB_miniB_hirose_5S8","","",""
"K1","KEYSW","keebs:Mx_Alps_100","","",""
"K2","KEYSW","keebs:Mx_Alps_100","","",""
"K3","KEYSW","keebs:Mx_Alps_100","","",""
"K4","KEYSW","keebs:Mx_Alps_100","","",""
"R1","10k","Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~","",""
"R2","10k","Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~","",""
"R3","22","Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~","",""
"R4","22","Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~","",""
"SW1","SW_Push","Button_Switch_SMD:SW_SPST_TL3342","~","",""
"U1","ATMEGA32U4","Package_QFP:TQFP-44_10x10mm_P0.8mm","","",""
"X1","XTAL_GND","keyboard_parts:FA-238","","",""
